id,Name,Cuisine,Ratings,Reviews,Price_Rng,Zip-Code,State,City,NumberReturns,AdjustedGross Income,IncomeperReturn,SalaryperReturn,TaxPaidperReturn,MTW Status
106,The White Bull,American (New),4.5,304,2,30030,GEORGIA,Decatur,"12,299","530,683","$43,148 ","$37,815 ","$7,733 ",Matching
652,Farmed Kitchen and Bar,American (New),5,53,2,30084,GEORGIA,Tucker,"15,589","677,729","$43,475 ","$37,451 ","$7,290 ",Matching
605,Kenley's,American (New),4.5,35,1,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
673,Boone's,American (New),4,29,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
346,Establishment,American (New),3.5,233,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
560,Flying Biscuit Caf,American (New),3.5,539,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
40,Industry Tavern,American (New),4,556,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
233,Lilys Restaurant & Lounge,American (New),3.5,109,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
655,Onyx,American (New),4,23,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
432,Fia Restaurant,American (New),4.5,106,3,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
428,King + Duke,American (New),4,907,3,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
260,The Family Dog,American (New),3.5,120,2,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
66,Whiskey Bird,American (New),4.5,485,2,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
