,ID,Name,Latitude,Longitude,Cuisine,Ratings,Reviews,Price_Rng,Zip-Code
0,GJxFtnTqTiokFedNrW9iDQ,Atlanta Breakfast Club,33.76502173,-84.39540055,Southern,4.5,4900,$$,30313
1,57d0Gmx4JKuKQWyJYu0yfg,JINYA Ramen Bar - Buckhead,33.85660858,-84.3827166,Ramen,4.5,1021,$$,30342
2,viqkunBBI6QOIZehME-7gg,Hattie B's Hot Chicken - Atlanta,33.7624,-84.34882,Southern,4.5,1819,$$,30307
3,lGDHzx8L-ZjTUh6ch2ar9g,Southern Kitchen & Grill,33.88625821,-84.26558901,Southern,4.5,231,$$,30340
4,U-i6cq-yFRVJC4pIKSLX9Q,Poor Calvin's,33.7684,-84.38226,Asian Fusion,4.5,3868,$$$,30308
5,CialKowdIXd6GOakSnakIQ,Birria el Gordo,33.901714,-84.544426,Tacos,4.5,174,$$,30060
6,JaLiJqWN38o3px1Gx5_tLg,Mushi Ni at Little Trouble,33.785834,-84.41216,Asian Fusion,5,247,$$,30318
7,r0JxdG5StcD8eiHF9u01ZQ,Slutty Vegan,33.743291,-84.438019,Vegan,4.5,945,$$,30310
8,u-4wti774tFcYRLuQrnHEg,Fox Bros. Bar-B-Q,33.76105147,-84.34750199,Barbeque,4.5,4098,$$,30307
9,9x8tQvdczbrNaTsQJWRiCQ,Ponko Chicken,33.78000363,-84.387064,Asian Fusion,4.5,287,$$,30309
10,jx0yeEipLwhKDlwWcyGt9Q,26 Thai Kitchen & Bar,33.8223733,-84.3691207,Thai,4.5,806,$$,30324
11,V86AJK3xytBv2C0bwi9_Ow,La Pastorcita,33.84308,-84.32924,Mexican,4,455,$,30329
12,WXIer1X3GtLZiAVXX8TV5Q,Rreal Tacos,33.77748372,-84.38345264,Tacos,4,520,$$,30308
13,BSUDAiXd50PAkfFAztVpDw,Aviva by Kameel - Atlanta,33.76053815,-84.38655546,Mediterranean,5,1623,$$,30303
14,JTGjHr9ii1TWq0TNLFkiQw,Blossom Tree,33.7554946,-84.38910761,Korean,4.5,393,$$,30303
15,bH9gLXJPbKOENrBRpy-9bw,El Burro Pollo,33.7752651,-84.3876426,Food Stands,4.5,39,$,30308
16,ZKZGgOsRPpAjc9oMBT_uBw,Kinnotori Ramen Bar,33.77375668,-84.36672154,Ramen,4.5,144,$$,30308
17,Ib800wLfNe0SKS9vVtMSaA,The Bando,33.75159312,-84.48724207,Chicken Wings,4,75,$$,30311
18,xakTfx650TBYn3IALjPZDg,Mukja Korean Fried Chicken,33.78066268,-84.3836642,Korean,4.5,202,$$,30309
19,ALYQ-uM_uMkKbkXlhWcgbQ,Fat Matt's Rib Shack,33.804646,-84.367191,Barbeque,4,2268,$$,30324
20,WvE0fx_ZhtuDlNiVjG3-Tg,Woody's CheeseSteaks,33.84152283,-84.3803645,Cheesesteaks,4,80,$$,30305
21,9VWaP_2svx5SYdAisNkRYQ,Bar-Bacoa,33.78258,-84.354707,Spanish,4.5,208,$$,30306
22,vgUv079XkNbWOtBf3tYKnw,The Hungry Peach,33.817,-84.37502,Venues & Event Spaces,4.5,58,$$,30305
23,9SFalpnKCfqOts8LKWG7Xw,Fork In The Road,33.84392,-84.25849,American (Traditional),4.5,144,$$,30084
24,xoZz5CbcuLVTSPPolmkDGw,Food Terminal - Atlanta,33.778829,-84.410034,Malaysian,4.5,219,$$,30318
25,6gmEsan5nMc0_DPP7usxvA,Fin & Feathers,33.75457,-84.37596,Soul Food,4,293,$$,30312
26,1WJH896e7eD9m0BO79vnwg,Truva Turkish Kitchen-Highland,33.77746,-84.35322,Turkish,4.5,176,$$,30306
27,ZbqsKgoo1zdckzFP0RgX_A,Velvet Taco,33.84011,-84.38107,Tacos,4,363,$$,30305
28,v3Bj4U3WMuol_VLJLQpvRQ,Dat Fire Jerk Chicken,33.74826484,-84.40471619,Caribbean,3.5,344,$$,30313
29,Kcva2t7e6Ukpb5vMvkdc2w,La Fonda Latina,33.773503,-84.357113,Cuban,4,494,$$,30306
30,spUefeTF40K9zaithe3STQ,Hippie Hibachi,33.80226632,-84.4285908,Japanese,4.5,73,$$,30318
31,trfQCzNmAgfQLSFUb_6vbA,Buttermilk Kitchen,33.86986,-84.38056,Breakfast & Brunch,4.5,1934,$$,30342
32,eG-UO83g_5zDk70FIJbm2w,South City Kitchen Midtown,33.786,-84.3845599,Southern,4.5,2816,$$,30309
33,RpsYzOuyCoAVKLl-vQL1mw,"Tom, Dick & Hank",33.73701859,-84.39418793,American (Traditional),4,527,$$,30312
34,oGshUJhbJsjsnaQZXJaDNA,Waikikie Hawaiian BBQ,33.816665,-84.335219,Barbeque,4,606,$$,30329
35,BrZa7uzpKHil9aPs0gO-3w,Lady Ha,33.77282,-84.36388,Vietnamese,4.5,40,$$,30308
36,B_6V-u97NU8aai4mrKqwNw,Silverlake Ramen,33.78342288,-84.3842521,Ramen,4,111,$$,30309
37,xnwnhDdc11R2X8Ww-02nNg,Food Terminal,33.88809,-84.28866,Malaysian,4,1571,$$,30341
38,tgbCzuxgSuN01DZ03lSdFg,SluttyVegan ATL,33.75440182,-84.3719889,Vegan,4.5,212,$$,30312
39,z9oCxeqOKp2QMfM24m7bUw,Mary Mac's Tea Room,33.772832,-84.379998,Southern,4,4283,$$,30308
40,F0eaHDnN_-zF7KPZu1a2NQ,Industry Tavern,33.84523364,-84.37129603,American (New),4,556,$$,30305
41,tDv2qG4N7PsYLN0QYuuaZQ,Bulla Gastrobar,33.78344107,-84.38476098,Spanish,4.5,696,$$,30309
42,JtIt-VshqofckWkbBG6cRA,Louisiana Bistreaux Buckhead,33.84575683,-84.373058,Cajun/Creole,4,328,$$,30305
43,Tjgp7DWBwrgMrQE7_5ivZg,Gino's NY Pizza Bar,33.80831,-84.36558,Pizza,3,367,$$,30324
44,CxQ1m2iY4wQpXC64tSfWgQ,Antico Pizza,33.78464162,-84.40565236,Pizza,4,3323,$$,30318
45,Z2qMwUhnGt_2pA9uQbS7Uw,The Vortex Bar And Grill - Midtown,33.779051,-84.384438,Burgers,4,1834,$$,30309
