State,City,ZipCode,NumberReturns,AdjustedGross Income,IncomeperReturn,SalaryperReturn,TaxPaidperReturn,,
GEORGIA,,GEORGIA,"3,384,574","142,319,622","$42,049 ","$35,558 ","$7,906 ",,
GEORGIA,Sea Island,31561,241,"84,634","$351,178 ","$146,310 ","$83,222 ",,
GEORGIA,Atlanta,30327,"11,481","2,702,336","$235,375 ","$158,838 ","$67,322 ",,117.6873095
GEORGIA,Alpharetta,30023,92,"16,727","$181,815 ","$118,610 ","$59,667 ",,
GEORGIA,Savannah,31411,"3,416","564,642","$165,293 ","$120,693 ","$39,730 ",,
GEORGIA,Atlanta,30355,592,"96,933","$163,738 ","$45,961 ","$39,107 ",,
GEORGIA,Atlanta,30302,836,"131,843","$157,707 ","$86,797 ","$47,874 ",,
GEORGIA,Atlanta,30305,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",,
GEORGIA,Marietta,30007,175,"24,182","$138,183 ","$116,092 ","$43,401 ",,
GEORGIA,Atlanta,30301,932,"123,848","$132,884 ","$61,430 ","$27,182 ",,
GEORGIA,Dalton,30722,969,"124,305","$128,282 ","$35,612 ","$37,820 ",,
GEORGIA,,30202,"2,994","382,285","$127,684 ","$103,757 ","$28,569 ",,
GEORGIA,Atlanta,30346,343,"43,417","$126,580 ","$67,101 ","$37,437 ",,
GEORGIA,Columbus,31902,697,"85,261","$122,326 ","$40,056 ","$30,503 ",,
GEORGIA,Duluth,30097,"10,318","1,192,442","$115,569 ","$92,733 ","$28,421 ",,
GEORGIA,,30155,539,"61,739","$114,544 ","$101,371 ","$24,355 ",,
GEORGIA,Atlanta,30348,69,"7,619","$110,420 ","$65,147 ","$26,298 ",,
GEORGIA,Atlanta,30336,308,"33,191","$107,763 ","$43,427 ","$44,544 ",,
GEORGIA,,30201,"1,610","169,202","$105,094 ","$87,575 ","$23,390 ",,
GEORGIA,Alpharetta,30022,"19,788","2,072,690","$104,745 ","$85,138 ","$24,209 ",,
GEORGIA,Atlanta,30328,"15,342","1,515,043","$98,751 ","$67,212 ","$23,526 ",,
GEORGIA,Alpharetta,30005,"9,481","931,759","$98,276 ","$89,682 ","$21,447 ",,
GEORGIA,Savannah,31420,315,"30,871","$98,003 ","$36,547 ","$21,432 ",,
GEORGIA,,30246,178,"17,351","$97,478 ","$48,886 ","$27,143 ",,
GEORGIA,Atlanta,31107,113,"10,392","$91,965 ","$29,841 ","$28,260 ",,
GEORGIA,,30174,"1,187","108,630","$91,516 ","$77,774 ","$16,534 ",,
GEORGIA,Atlanta,30309,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",,
GEORGIA,Atlanta,30326,"1,688","151,035","$89,476 ","$117,370 ","$32,505 ",,
GEORGIA,Macon,31297,47,"4,176","$88,851 ","$77,275 ","$20,744 ",,
GEORGIA,Atlanta,30342,"13,517","1,178,396","$87,179 ","$65,255 ","$20,854 ",,
GEORGIA,Atlanta,30338,"15,484","1,344,128","$86,808 ","$71,667 ","$19,352 ",,
GEORGIA,Marietta,30068,"15,861","1,366,209","$86,136 ","$71,003 ","$19,718 ",,
GEORGIA,Calhoun,30703,"1,059","91,216","$86,134 ","$32,339 ","$20,725 ",,
GEORGIA,,30239,27,"2,322","$86,000 ","$69,118 ","$17,840 ",,
GEORGIA,Atlanta,30350,"16,664","1,398,604","$83,930 ","$62,571 ","$20,546 ",,
GEORGIA,Athens,30603,447,"35,499","$79,416 ","$38,595 ","$22,973 ",,
GEORGIA,Atlanta,30319,"17,884","1,411,878","$78,946 ","$60,526 ","$18,456 ",,
GEORGIA,Roswell,30075,"21,656","1,696,164","$78,323 ","$69,072 ","$16,372 ",,
GEORGIA,Atlanta,30361,50,"3,904","$78,080 ","$142,500 ","$20,643 ",,
GEORGIA,,30136,"2,195","170,091","$77,490 ","$65,411 ","$14,796 ",,
GEORGIA,Valdosta,31604,475,"36,749","$77,366 ","$33,911 ","$18,933 ",,
GEORGIA,,30221,415,"31,944","$76,973 ","$64,886 ","$13,580 ",,
GEORGIA,Alpharetta,30004,"15,174","1,157,224","$76,264 ","$65,951 ","$15,298 ",,
GEORGIA,,30262,67,"5,045","$75,299 ","$37,148 ","$14,534 ",,
GEORGIA,Suwanee,30024,"12,607","943,439","$74,835 ","$67,880 ","$13,864 ",,
GEORGIA,,30131,891,"66,062","$74,144 ","$67,536 ","$12,145 ",,
GEORGIA,Atlanta,31119,238,"17,331","$72,819 ","$38,309 ","$15,926 ",,
GEORGIA,Columbus,31917,327,"23,515","$71,911 ","$33,576 ","$17,420 ",,
GEORGIA,,30243,"6,764","481,618","$71,203 ","$63,898 ","$11,337 ",,
GEORGIA,Roswell,30076,"18,153","1,284,808","$70,777 ","$60,235 ","$15,306 ",,
GEORGIA,Atlanta,30356,251,"17,722","$70,606 ","$56,356 ","$16,310 ",,
GEORGIA,Macon,31209,178,"12,361","$69,444 ","$46,313 ","$17,164 ",,
GEORGIA,,30130,"1,412","98,048","$69,439 ","$58,014 ","$11,606 ",,
GEORGIA,Peachtree City,30269,"14,032","970,722","$69,179 ","$59,635 ","$12,813 ",,
GEORGIA,Alpharetta,30009,257,"17,710","$68,911 ","$49,057 ","$15,448 ",,
GEORGIA,Tucker,30085,384,"26,429","$68,826 ","$40,628 ","$17,988 ",,
GEORGIA,Atlanta,30306,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",,
GEORGIA,Columbus,31908,520,"35,530","$68,327 ","$38,352 ","$16,376 ",,
GEORGIA,Savannah,31412,697,"47,508","$68,161 ","$34,818 ","$19,614 ",,
GEORGIA,Atlanta,30325,228,"15,307","$67,136 ","$43,026 ","$15,010 ",,
GEORGIA,Atlanta,31106,112,"7,503","$66,991 ","$48,505 ","$14,359 ",,
GEORGIA,,30247,"10,441","695,816","$66,643 ","$56,604 ","$11,680 ",,
GEORGIA,,30279,287,"19,122","$66,627 ","$43,850 ","$14,722 ",,
GEORGIA,Macon,31210,"12,846","851,135","$66,257 ","$53,230 ","$13,971 ",,
GEORGIA,Norcross,30092,"14,752","975,136","$66,102 ","$55,206 ","$13,886 ",,
GEORGIA,Midland,31820,"2,024","133,703","$66,059 ","$56,750 ","$12,064 ",,
GEORGIA,,30278,"5,166","339,362","$65,691 ","$55,433 ","$11,243 ",,
GEORGIA,Saint Simons Island,31522,"7,168","470,182","$65,595 ","$44,935 ","$13,285 ",,
GEORGIA,Cumming,30041,"11,323","734,761","$64,891 ","$54,764 ","$12,079 ",,
GEORGIA,,30208,"1,880","121,414","$64,582 ","$57,464 ","$9,973 ",,
GEORGIA,Atlanta,30320,135,"8,699","$64,437 ","$59,922 ","$10,628 ",,
GEORGIA,Woodstock,30189,"12,225","783,488","$64,089 ","$58,602 ","$11,013 ",,
GEORGIA,Lookout Mountain,30750,"1,351","86,201","$63,805 ","$47,472 ","$13,634 ",,
GEORGIA,,30073,"1,907","121,340","$63,629 ","$55,847 ","$10,329 ",,
GEORGIA,Atlanta,30345,"9,719","617,379","$63,523 ","$49,935 ","$13,362 ",,
GEORGIA,Savannah,31402,731,"45,644","$62,440 ","$39,291 ","$16,677 ",,
GEORGIA,Marietta,30067,"22,549","1,403,307","$62,234 ","$46,666 ","$13,866 ",,
GEORGIA,Marietta,30062,"28,755","1,786,637","$62,133 ","$55,082 ","$11,981 ",,
GEORGIA,Marietta,30064,"18,425","1,139,394","$61,840 ","$53,714 ","$11,696 ",,
GEORGIA,Atlanta,30358,363,"22,345","$61,556 ","$44,227 ","$13,139 ",,
GEORGIA,Stone Mountain,30087,"14,338","874,042","$60,960 ","$48,966 ","$11,313 ",,
GEORGIA,Roswell,30077,388,"23,532","$60,649 ","$41,084 ","$12,715 ",,
GEORGIA,Fayetteville,30215,"9,743","590,026","$60,559 ","$53,863 ","$10,486 ",,
GEORGIA,Buford,30515,480,"28,908","$60,225 ","$36,269 ","$13,935 ",,
GEORGIA,,30211,646,"38,821","$60,094 ","$57,105 ","$8,033 ",,
GEORGIA,Evans,30809,"9,701","580,142","$59,802 ","$53,096 ","$10,486 ",,
GEORGIA,Kennesaw,30152,"10,073","596,081","$59,176 ","$53,028 ","$10,717 ",,
GEORGIA,Augusta,30914,420,"24,848","$59,162 ","$38,127 ","$15,158 ",,
GEORGIA,Atlanta,30307,"8,251","483,693","$58,622 ","$47,414 ","$12,642 ",,
GEORGIA,Albany,31708,421,"24,556","$58,328 ","$37,784 ","$13,003 ",,
GEORGIA,,30244,"7,256","421,310","$58,064 ","$53,258 ","$8,894 ",,
GEORGIA,Dalton,30720,"9,627","557,991","$57,961 ","$41,415 ","$13,639 ",,
GEORGIA,Grayson,30017,"3,616","209,546","$57,950 ","$49,984 ","$10,290 ",,
